_name,_priceData,_currencyType,_amount,_priceData,_infoText,_sellData,_goodsType,_datas,_datas,_datas,_datas,_sellData
빨간 유닛 강화,,Rune,1,,를,,UnitUpgrade,0,0,50,,
파란 유닛 강화,,Rune,1,,를,,UnitUpgrade,0,1,50,,
노란 유닛 강화,,Rune,1,,를,,UnitUpgrade,0,2,50,,
초록 유닛 강화,,Rune,1,,를,,UnitUpgrade,0,3,50,,
주황 유닛 강화,,Rune,1,,를,,UnitUpgrade,0,4,50,,
보라 유닛 강화,,Rune,1,,를,,UnitUpgrade,0,5,50,,
빨간 창병,,Gold,50,,을,,Unit,0,2,,,
파란 창병,,Gold,50,,을,,Unit,1,2,,,
노란 창병,,Gold,50,,을,,Unit,2,2,,,
주황 창병,,Gold,100,,을,,Unit,3,2,,,
초록 창병,,Gold,100,,을,,Unit,4,2,,,
보라 창병,,Gold,100,,을,,Unit,5,2,,,
빨간 마법사,,Gold,180,,를,,Unit,0,3,,,
파란 마법사,,Gold,180,,를,,Unit,1,3,,,
노란 마법사,,Gold,180,,를,,Unit,2,3,,,
